Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.633,0,100,0,19.8,0,-10.3973,0.0401193,-0.00927908,1.89865,0.358321,0.527154,-10.2433
0.636,0,100,0,21.6,0,-10.2433,0.0975651,0.0514586,1.73412,0.361595,0.223611,-10.8117
0.639,0,100,0,23.4,0,-10.8117,0.148433,-0.0645821,1.65092,0.205296,0.142048,-11.3096
0.642,0,100,0,25.2,0,-11.3096,0.0512478,0.0498229,1.32026,-0.0126219,0.282077,-11.3301
0.645,0,100,0,27,0,-11.3301,0.00912806,-0.017221,0.974184,-0.250513,-0.03695,-11.4489
0.648,0,100,0,28.8,0,-11.4489,0.014872,0.117715,0.943724,-0.547668,0.4268,-12.3155
0.651,0,100,0,30.6,0,-12.3155,-0.118175,-0.152008,1.44764,-0.25468,-0.804265,-14.0512
0.654,0,100,0,32.4,0,-14.0512,0.106038,0.0405352,2.16017,0.151366,0.136361,-14.5585
0.657,0,100,0,34.2,0,-14.5585,0.138857,-0.0337349,2.55582,0.865988,0.484115,-16.2382
0.66,0,100,0,36,0,-16.2382,0.136354,0.0699497,2.81948,0.169841,-0.0143799,-16.7121
0.663,0,100,0,37.8,0,-16.7121,0.00900687,-0.0434995,2.95304,0.0862587,-0.236995,-15.8017
0.666,0,100,0,39.6,0,-15.8017,0.0401347,0.0231082,3.49693,0.138046,0.452175,-17.3657
0.669,0,100,0,41.4,0,-17.3657,0.0294496,0.0430518,4.72225,-0.178424,0.415877,-17.7724
0.672,0,100,0,43.2,0,-17.7724,0.0491068,0.0799176,3.52878,-0.289327,0.587497,-17.3914
0.675,0,100,0,45,0,-17.3914,0.081624,0.140788,-7.68313,0.164778,0.353647,-11.7624
0.678,0,100,0,46.8,0,-11.7624,0.0112101,0.0434565,2.11806,0.106578,0.3761,-12.6946
0.681,0,100,0,48.6,0,-12.6946,-0.0309047,0.120155,3.74727,0.129176,-0.0127617,-13.5888
0.684,0,100,0,50.4,0,-13.5888,0.0233409,-0.068436,3.33086,0.140866,-0.203444,-13.3572
