Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.639,0,100,0,23.4,0,-50.4518,-0.0620161,0.0919338,4.61735,1.50744,0.502964,-58.3791
0.642,0,100,0,25.2,0,-58.3791,0.459824,-0.0319662,3.43301,2.57801,-0.568633,-44.0468
0.645,0,100,0,27,0,-44.0468,0.0355237,-0.168736,2.77732,1.99446,-1.34817,-44.0712
0.648,0,100,0,28.8,0,-44.0712,0.246652,-0.00263617,4.87305,0.188026,-0.180548,-40.8655
0.651,0,100,0,30.6,0,-40.8655,0.138649,-0.118352,4.7076,0.753516,-0.618266,-39.194
0.654,0,100,0,32.4,0,-39.194,0.0815473,-0.159585,2.26924,0.0865646,0.622618,-35.6069
0.657,0,100,0,34.2,0,-35.6069,-0.0195526,0.00668503,2.99257,-0.363706,-1.6664,-38.5237
0.66,0,100,0,36,0,-38.5237,0.014091,0.174884,2.7851,-1.13902,-0.928851,-40.1541
0.663,0,100,0,37.8,0,-40.1541,-0.0435663,-0.100712,1.93426,0.334572,-0.780887,-42.1201
0.666,0,100,0,39.6,0,-42.1201,0.142557,-0.170237,2.2646,0.474664,-0.857762,-41.4631
0.669,0,100,0,41.4,0,-41.4631,0.0604978,-0.0976803,4.70514,-0.512364,-0.876467,-46.788
0.672,0,100,0,43.2,0,-46.788,0.0814462,0.126122,3.01557,-0.884096,-0.472747,-47.5979
0.675,0,100,0,45,0,-47.5979,-0.00893432,0.151892,3.90645,-1.29821,0.174741,-52.72
0.678,0,100,0,46.8,0,-52.72,0.104511,0.0214614,5.40857,-0.185484,0.513001,-51.4182
0.681,0,100,0,48.6,0,-51.4182,-0.0152162,-0.0466198,4.63202,0.733445,0.184731,-59.1652
0.684,0,100,0,50.4,0,-59.1652,0.159282,0.133015,1.7542,0.677613,1.86072,-43.3965
0.687,0,100,0,52.2,0,-43.3965,-0.0811838,0.0437503,2.43605,-0.42722,-0.257547,-42.4494
0.69,0,100,0,54,0,-42.4494,-0.120857,0.0389845,5.56778,-0.386015,-0.488505,-44.8957
0.693,0,100,0,55.8,0,-44.8957,0.198857,-0.25268,4.51204,1.08892,-0.420273,-38.1121
0.696,0,100,0,57.6,0,-38.1121,0.151449,-0.0559767,3.15415,-0.0215614,0.365789,-37.7985
0.699,0,100,0,59.4,0,-37.7985,0.159334,-0.159907,3.19026,0.759084,-0.604293,-38.3573
0.702,0,100,0,61.2,0,-38.3573,0.0458272,-0.149321,2.88064,0.484218,-0.876075,-39.6688
